bin	affy6	affy6_g1k	hapmap	hapmap_g1k	g1k
0	23486	52255	141160	42116	6303957
1	18503	27171	90647	78015	2389785
2	16090	18968	76705	72487	863995
3	16751	21701	71394	83885	653777
4	15610	20947	83506	79486	475662
5	33044	18322	82860	67963	344726
6	17674	24237	64425	87315	367618
7	16029	18683	71613	65079	268643
8	16403	19817	60330	69891	270318
9	15372	19297	68340	67753	245966
10	29748	17934	61028	62311	211228
11	16045	15370	66090	53234	191515
12	14741	16799	57109	59050	187435
13	14874	18432	52872	63255	197147
14	13997	16075	52948	55705	168583
15	27101	17685	72057	60804	180283
16	15027	17797	53067	60823	175657
17	13233	15629	51945	53343	151555
18	14199	21219	57559	71720	194380
19	12800	15709	59163	54326	149907
20	25738	16451	52182	56237	152969
21	13828	15041	50780	50594	136396
22	13188	11841	46421	40483	114039
23	13368	16385	55139	56239	147180
24	12272	13935	45184	47810	124391
25	24398	15779	59802	54126	139862
26	12968	13988	44064	47004	119975
27	12653	15407	52985	52978	135295
28	12657	23912	47772	82264	211622
29	11557	4617	43365	15637	34708
30	23319	15345	52783	51605	129118
31	12626	18504	52535	63175	152792
32	11183	14329	42754	48518	120980
33	12830	8083	45093	27339	70746
34	11411	14515	41399	49139	121023
35	22332	14617	58222	48954	119684
36	11922	12540	42082	42581	104353
37	10943	14469	43269	49411	121135
38	12225	12545	48910	42708	103387
39	10944	14277	42691	48313	117499
40	21966	12607	49438	42858	103819
41	11463	14138	40225	47797	116803
42	10873	14178	50210	47491	114253
43	11675	18666	41695	63026	150653
44	11194	13393	47628	45731	109833
45	21596	6648	44215	22729	55005
46	11478	13873	48544	47632	113379
47	10541	13897	39032	47364	113279
48	11511	12184	38693	41023	98442
49	10658	14062	38713	47562	114028
50	6014	6027	14310	20393	48735
